battery_current_A,battery_voltage_V,state_of_charge_percent,ambient_temperature_C,battery_temperature_C,coolant_inlet_temperature_C,coolant_flow_rate_kg_s,coolant_pressure_Pa,nanoparticle_concentration_percent,reynolds_number,heat_transfer_coefficient_W_m2K,microchannel_width_mm,microchannel_height_mm,discharge_rate_C,max_battery_temperature_C,temperature_rise_C,thermal_risk_score,thermal_risk_label,hotspot_risk_score
7.443,3.983,60.74,32.24,39.91,29.14,0.0069,121370.6,3.358,8000.0,20763.39,0.377,0.343,2.181,38.68,6.44,24.22,NORMAL,20.14
2.208,3.329,51.13,20.11,24.73,20.68,0.0181,102549.6,0.265,8000.0,20425.78,0.305,0.647,1.45,22.0,0.0,0.0,NORMAL,0.0
4.518,3.666,97.29,21.07,23.11,21.9,0.03612,193640.4,3.535,8000.0,20848.1,0.874,0.205,0.984,22.0,0.47,0.0,NORMAL,0.0
1.841,3.364,38.85,27.36,29.94,18.32,0.02405,152400.3,2.281,8000.0,20516.17,0.953,0.779,1.181,27.99,0.63,0.0,NORMAL,0.0
1.031,3.982,55.25,28.25,28.6,21.63,0.01844,137409.4,2.493,8000.0,20783.87,0.973,0.415,0.822,30.17,1.92,0.0,NORMAL,0.0
8.604,3.237,67.18,25.08,33.35,27.41,0.01834,199825.5,0.507,8000.0,20464.95,0.383,0.617,1.084,27.97,2.88,0.0,NORMAL,6.31
6.381,3.901,72.15,33.98,38.36,24.81,0.0168,111784.0,1.954,8000.0,20856.15,0.574,0.425,1.066,39.32,5.34,28.64,CAUTION,16.19
11.701,3.602,86.08,39.88,52.52,37.44,0.00818,164724.6,0.913,8000.0,20633.74,0.386,0.525,4.581,55.92,16.04,100.0,CRITICAL,78.0
1.586,3.465,29.88,25.61,26.74,18.75,0.02848,107036.3,0.032,8000.0,20571.81,0.954,0.332,0.875,25.98,0.37,0.0,NORMAL,0.0
4.814,4.16,87.61,29.06,32.33,19.03,0.03732,132816.0,2.065,8000.0,20585.62,0.617,0.751,1.326,29.93,0.87,0.0,NORMAL,0.0
3.015,3.492,19.11,23.18,26.21,19.54,0.01974,125507.2,0.521,8000.0,20630.08,0.937,0.613,1.387,23.18,0.0,0.0,NORMAL,0.0
3.747,3.412,15.84,20.89,23.77,22.63,0.0217,170518.3,0.927,8000.0,20454.85,0.618,0.242,1.232,22.0,0.0,0.0,NORMAL,0.0
4.492,3.631,88.4,26.1,27.67,18.31,0.01623,136095.9,1.538,8000.0,20626.85,0.364,0.332,0.713,28.24,2.14,0.0,NORMAL,0.0
1.355,3.502,39.26,25.8,25.99,19.54,0.02108,121561.2,2.267,8000.0,20592.0,0.55,0.249,0.848,27.1,1.3,0.0,NORMAL,0.0
4.794,3.928,81.67,21.19,26.82,18.0,0.02679,115032.2,1.204,8000.0,20599.89,0.98,0.286,0.805,22.0,0.0,0.0,NORMAL,0.0
8.605,3.23,79.66,25.99,33.65,28.47,0.02258,180575.5,4.763,8000.0,21001.19,0.914,0.233,2.024,30.24,4.24,0.0,NORMAL,0.0
3.606,3.892,70.79,27.69,31.67,22.91,0.02722,105015.6,4.596,8000.0,20936.57,0.66,0.785,0.921,28.86,1.16,0.0,NORMAL,0.0
10.411,3.622,28.41,35.12,43.69,30.51,0.00887,135116.9,1.242,8000.0,20562.04,0.53,0.596,2.411,46.71,11.59,69.14,HIGH,44.74
4.046,3.984,48.22,29.17,33.47,27.63,0.0213,130813.6,2.244,8000.0,20778.03,0.415,0.538,1.004,30.89,1.71,0.0,NORMAL,0.0
3.249,3.534,82.84,26.94,29.92,22.89,0.01649,136553.6,3.037,8000.0,20802.56,0.397,0.597,0.5,28.42,1.48,0.0,NORMAL,0.46
11.817,3.218,18.83,37.18,49.64,33.18,0.01561,160077.8,0.932,8000.0,20581.25,0.409,0.62,3.326,50.1,12.92,78.95,CRITICAL,50.46
11.346,3.963,55.54,37.38,47.62,30.53,0.00595,186408.5,3.142,8000.0,20838.48,0.672,0.54,2.148,52.75,15.37,100.0,CRITICAL,74.08
3.11,3.333,23.83,27.63,30.31,23.47,0.02188,98919.4,2.103,8000.0,20620.06,0.79,0.676,0.835,28.54,0.92,0.0,NORMAL,0.0
1.997,3.678,19.2,28.21,29.87,20.81,0.02399,165994.0,0.155,8000.0,20582.89,0.507,0.548,0.677,30.25,2.04,0.0,NORMAL,0.0
5.498,4.033,49.73,25.03,29.92,24.51,0.01675,97149.1,1.285,8000.0,20696.68,0.989,0.286,1.353,27.26,2.23,0.0,NORMAL,0.0
4.142,4.125,37.86,20.47,24.71,24.51,0.01594,80798.9,0.917,8000.0,20559.49,0.627,0.285,0.889,22.0,0.29,0.0,NORMAL,0.0
4.161,3.446,83.87,29.82,34.32,22.84,0.0229,80951.0,4.114,8000.0,20934.33,0.717,0.252,1.41,31.2,1.38,0.0,NORMAL,0.0
2.226,4.038,53.92,28.88,29.93,24.4,0.0244,187528.0,2.488,8000.0,20762.09,0.675,0.318,0.911,28.88,0.0,0.0,NORMAL,0.0
12.02,3.976,76.7,39.66,51.75,30.11,0.00865,181559.5,0.9,8000.0,20675.04,0.84,0.225,2.133,54.31,14.65,100.0,CRITICAL,77.2
6.122,4.124,69.52,29.73,34.24,23.79,0.02581,119119.2,2.845,8000.0,20987.47,0.955,0.459,1.437,32.1,2.37,0.0,NORMAL,0.0
7.483,4.015,95.62,33.52,40.24,23.5,0.01708,157885.0,2.181,8000.0,20828.38,0.893,0.32,1.906,39.08,5.56,24.31,NORMAL,19.97
7.806,3.289,33.4,37.44,45.04,34.89,0.00569,97996.8,2.138,8000.0,20617.7,0.66,0.572,2.938,48.54,11.1,73.09,HIGH,51.12
3.685,4.144,80.27,28.44,31.69,19.4,0.03889,170490.6,1.007,8000.0,20670.38,0.957,0.782,0.938,29.46,1.02,0.0,NORMAL,0.0
4.926,3.225,26.89,33.9,39.11,23.01,0.01998,199807.2,3.196,8000.0,21040.37,0.593,0.37,2.338,37.59,3.68,15.95,NORMAL,7.74
2.221,3.544,87.61,27.54,29.07,18.43,0.02369,193360.2,4.101,8000.0,20830.23,0.352,0.247,1.346,28.7,1.16,0.0,NORMAL,0.0
3.663,3.589,88.62,27.39,30.9,24.91,0.02958,156071.9,2.425,8000.0,20857.42,0.393,0.561,0.924,27.39,0.0,0.0,NORMAL,0.0
5.225,3.685,83.57,30.73,35.53,28.95,0.02098,133638.2,0.744,8000.0,20628.32,0.966,0.383,1.916,33.73,3.0,0.0,NORMAL,0.0
3.42,3.435,38.89,25.08,29.59,18.92,0.03258,123969.6,1.308,8000.0,20648.52,0.958,0.411,0.623,25.43,0.35,0.0,NORMAL,0.0
4.133,3.324,23.2,29.89,33.87,27.7,0.02998,113196.9,1.57,8000.0,20679.22,0.94,0.795,1.859,32.72,2.83,0.0,NORMAL,0.0
12.092,4.037,85.89,33.46,46.2,30.92,0.01961,90271.5,4.416,8000.0,20914.11,0.826,0.41,3.018,41.01,7.55,40.24,CAUTION,33.02
8.036,3.842,63.06,30.26,37.67,23.74,0.02161,105146.4,3.119,8000.0,20693.3,0.775,0.398,1.336,34.31,4.05,3.19,NORMAL,0.0
4.015,3.675,50.32,27.36,30.87,29.11,0.01742,147037.5,4.633,8000.0,21044.3,0.886,0.323,1.29,29.59,2.23,0.0,NORMAL,2.07
5.939,3.975,47.14,33.45,40.62,23.51,0.01015,112617.8,1.61,8000.0,20523.91,0.612,0.656,1.833,39.23,5.78,29.82,CAUTION,19.32
4.725,4.115,19.12,26.04,32.3,23.02,0.02275,167062.5,4.365,8000.0,20919.82,0.683,0.558,1.43,28.06,2.02,0.0,NORMAL,3.04
4.088,3.424,68.23,29.76,32.86,20.74,0.03881,172134.5,3.958,8000.0,20898.07,0.929,0.267,0.518,30.76,1.0,0.0,NORMAL,0.0
4.352,3.523,56.87,25.45,29.68,23.8,0.02398,137196.6,4.744,8000.0,20947.53,0.34,0.677,1.065,25.9,0.45,0.0,NORMAL,0.0
2.056,4.134,96.52,24.92,27.85,21.3,0.03356,188666.4,1.209,8000.0,20637.46,0.694,0.706,1.06,25.34,0.42,0.0,NORMAL,0.0
3.721,3.744,70.76,24.85,28.54,22.97,0.03185,177833.5,4.736,8000.0,21128.59,0.567,0.497,1.159,24.85,0.0,0.0,NORMAL,0.0
11.94,3.481,96.91,35.41,45.81,28.54,0.01519,89332.2,3.297,8000.0,20848.0,0.689,0.288,2.387,44.63,9.22,50.85,HIGH,44.49
1.876,3.358,22.59,27.92,29.47,24.91,0.02745,176299.1,3.673,8000.0,20889.88,0.97,0.595,0.935,29.81,1.89,0.0,NORMAL,0.0
1.941,4.189,71.42,20.2,23.57,23.08,0.02111,179574.0,0.929,8000.0,20673.14,0.85,0.648,0.611,22.0,0.0,0.0,NORMAL,0.0
4.103,3.735,83.29,25.65,30.72,18.1,0.02804,121592.3,1.08,8000.0,20649.24,0.634,0.755,0.755,26.95,1.3,0.0,NORMAL,0.0
3.727,4.062,65.0,26.14,28.95,23.34,0.03543,139158.8,4.972,8000.0,21007.6,0.777,0.444,0.522,28.07,1.93,0.0,NORMAL,0.0
5.541,3.836,65.34,31.35,36.51,23.55,0.01286,88413.7,3.92,8000.0,20865.6,0.694,0.428,1.902,35.0,3.65,7.14,NORMAL,12.26
7.416,3.644,24.02,34.34,40.62,27.17,0.02136,111910.4,4.445,8000.0,20953.36,0.438,0.49,1.864,40.84,6.5,33.43,CAUTION,27.8
9.643,4.058,38.91,30.54,41.2,33.63,0.0185,194175.6,1.311,8000.0,20675.4,0.619,0.566,2.793,37.4,6.86,20.93,NORMAL,20.78
8.637,3.557,66.93,26.53,34.0,23.68,0.02169,191965.7,2.475,8000.0,20791.46,0.378,0.492,1.759,28.94,2.41,0.0,NORMAL,2.48
1.804,3.968,52.57,27.82,30.21,19.87,0.03118,161949.8,2.648,8000.0,20687.34,0.619,0.627,1.172,29.11,1.28,0.0,NORMAL,0.0
10.041,3.653,87.67,30.23,40.54,30.17,0.01277,82196.9,1.332,8000.0,20520.54,0.608,0.548,2.26,37.37,7.14,16.12,NORMAL,17.23
4.863,4.097,79.96,24.71,26.95,23.08,0.01545,82871.2,0.723,8000.0,20614.52,0.789,0.765,0.584,24.71,0.0,0.0,NORMAL,4.45
1.686,3.703,58.14,21.88,23.73,22.32,0.0216,151406.5,0.93,8000.0,20529.78,0.489,0.285,0.924,22.0,0.0,0.0,NORMAL,0.0
2.943,3.526,65.07,21.11,22.45,22.28,0.02565,107630.3,1.594,8000.0,20667.93,0.575,0.439,1.285,22.0,0.0,0.0,NORMAL,0.0
4.02,3.926,69.07,31.26,36.79,24.38,0.01989,158204.0,2.11,8000.0,20691.87,0.588,0.204,1.424,34.58,3.32,2.63,NORMAL,0.4
4.985,4.06,68.97,22.31,25.28,20.95,0.03795,91506.3,0.094,8000.0,20471.27,0.42,0.692,1.413,23.79,1.48,0.0,NORMAL,0.0
2.216,4.051,72.65,23.81,24.27,21.81,0.03047,198495.6,2.385,8000.0,20782.28,0.813,0.637,1.489,24.1,0.29,0.0,NORMAL,0.0
4.18,3.678,54.75,33.48,39.14,24.2,0.01094,93762.9,2.644,8000.0,20771.85,0.768,0.735,1.126,37.65,4.17,11.26,NORMAL,5.71
2.903,3.64,21.14,28.95,31.3,20.6,0.01994,120404.8,2.376,8000.0,20836.1,0.581,0.632,1.29,30.15,1.2,0.0,NORMAL,0.0
7.901,3.349,95.96,30.27,35.94,27.01,0.01792,91722.3,2.962,8000.0,20859.37,0.411,0.533,1.262,33.83,3.56,3.12,NORMAL,3.31
4.893,3.239,11.48,26.62,29.31,19.76,0.03263,126086.0,0.448,8000.0,20474.44,0.851,0.652,0.516,28.38,1.76,0.0,NORMAL,0.0
4.449,4.132,11.49,23.84,28.14,19.79,0.0267,120371.3,4.407,8000.0,20906.17,0.785,0.432,0.7,24.57,0.73,0.0,NORMAL,0.0
1.943,3.925,94.46,25.73,28.25,20.78,0.03587,157484.1,1.169,8000.0,20597.0,0.765,0.394,1.267,27.14,1.41,0.0,NORMAL,0.0
4.334,3.777,54.49,29.84,34.72,29.17,0.01394,183112.0,2.188,8000.0,20667.17,0.962,0.767,1.651,32.48,2.64,0.0,NORMAL,3.05
4.897,3.783,83.58,20.52,24.9,19.83,0.03114,177226.1,4.282,8000.0,21022.09,0.862,0.335,1.296,22.0,0.0,0.0,NORMAL,0.0
3.541,3.223,44.71,21.29,26.44,22.45,0.03984,167945.7,3.578,8000.0,20819.22,0.929,0.296,0.569,22.33,1.05,0.0,NORMAL,0.0
2.013,3.654,48.78,24.5,26.96,24.3,0.02597,199738.3,3.61,8000.0,20859.62,0.832,0.461,1.45,25.44,0.93,0.0,NORMAL,0.0
14.344,4.121,73.48,38.44,51.88,37.71,0.0116,85232.4,4.003,8000.0,20930.64,0.822,0.241,4.392,55.56,17.12,100.0,CRITICAL,76.63
11.83,3.662,55.8,35.52,45.49,37.75,0.01117,174745.9,4.835,8000.0,20892.82,0.831,0.459,3.342,46.5,10.97,62.94,HIGH,57.75
7.78,3.781,91.06,30.84,36.17,28.26,0.01035,95637.2,0.206,8000.0,20522.52,0.962,0.658,1.127,36.59,5.76,17.17,NORMAL,9.19
3.198,3.577,72.23,27.83,32.86,24.43,0.02519,152972.9,4.987,8000.0,21128.59,0.667,0.406,0.663,29.96,2.13,0.0,NORMAL,0.0
10.858,3.305,57.45,35.62,44.98,39.52,0.01095,177339.7,4.675,8000.0,20972.44,0.587,0.388,4.307,47.91,12.3,71.73,HIGH,52.38
12.439,3.524,84.68,37.49,47.31,34.27,0.01221,159367.1,0.709,8000.0,20544.91,0.973,0.427,2.038,51.03,13.53,83.86,CRITICAL,64.12
6.168,3.285,59.04,34.62,40.54,26.07,0.01219,93746.6,1.474,8000.0,20713.08,0.978,0.532,1.979,40.19,5.56,30.32,CAUTION,19.07
3.782,3.779,36.97,20.65,25.69,19.1,0.03293,102062.6,3.295,8000.0,20893.16,0.911,0.781,0.845,22.0,0.0,0.0,NORMAL,0.0
2.393,4.182,20.83,26.9,28.41,24.7,0.02796,186440.4,4.402,8000.0,20754.64,0.702,0.335,1.276,27.41,0.51,0.0,NORMAL,0.0
4.701,3.563,41.55,24.73,28.65,19.7,0.03432,189282.8,2.711,8000.0,20760.01,0.739,0.576,0.66,25.65,0.91,0.0,NORMAL,0.0
14.214,4.058,67.11,40.87,54.54,35.33,0.01056,169574.5,2.565,8000.0,20786.65,0.614,0.578,3.788,58.68,17.81,100.0,CRITICAL,75.71
4.699,3.243,98.35,22.14,26.86,23.38,0.01578,115229.5,0.598,8000.0,20627.57,0.447,0.586,1.428,23.36,1.21,0.0,NORMAL,0.0
4.679,3.705,77.1,23.94,29.31,23.9,0.03512,110055.7,3.619,8000.0,20955.23,0.371,0.692,0.573,24.27,0.33,0.0,NORMAL,0.0
2.345,3.854,65.71,25.19,28.25,22.4,0.0198,88649.9,2.497,8000.0,20728.41,0.309,0.384,1.309,25.67,0.48,0.0,NORMAL,0.0
6.153,3.519,28.21,26.74,35.19,29.48,0.01649,136145.3,0.522,8000.0,20554.92,0.449,0.286,2.247,30.12,3.38,0.0,NORMAL,5.46
3.276,3.298,73.63,25.15,28.82,23.73,0.02502,127354.0,4.562,8000.0,20903.05,0.677,0.481,0.923,25.15,0.0,0.0,NORMAL,0.19
11.065,3.418,57.07,37.74,48.42,28.61,0.00892,109408.2,1.187,8000.0,20716.23,0.931,0.747,2.842,50.27,12.53,81.2,CRITICAL,64.15
11.66,3.27,76.51,34.15,43.72,31.02,0.01204,158025.6,2.664,8000.0,20595.16,0.591,0.471,3.018,46.07,11.92,64.82,HIGH,53.66
7.419,4.088,42.89,31.09,38.64,26.59,0.01278,104849.8,4.17,8000.0,20804.56,0.749,0.498,2.458,36.45,5.36,11.22,NORMAL,13.04
1.253,3.205,53.03,28.08,28.8,23.62,0.02571,90669.2,3.374,8000.0,20964.55,0.624,0.397,1.116,28.87,0.79,0.0,NORMAL,0.0
6.275,3.269,57.34,27.28,32.97,29.18,0.01142,131879.8,1.173,8000.0,20613.39,0.31,0.772,1.709,29.9,2.62,0.0,NORMAL,2.09
7.655,3.996,42.59,32.6,40.21,25.45,0.02583,167247.4,4.998,8000.0,20964.54,0.599,0.497,2.312,37.56,4.96,14.82,NORMAL,12.55
4.593,3.5,62.08,28.73,34.19,28.14,0.02898,102073.9,0.464,8000.0,20626.63,0.56,0.788,2.401,29.65,0.92,0.0,NORMAL,0.0
1.818,3.565,34.87,21.94,24.27,22.09,0.01855,150541.0,4.027,8000.0,20767.52,0.522,0.517,1.38,22.0,0.0,0.0,NORMAL,0.0
2.513,3.507,16.87,23.02,24.58,23.44,0.03899,90489.7,2.321,8000.0,20750.49,0.514,0.771,1.177,23.02,0.0,0.0,NORMAL,0.0
2.945,4.091,26.05,24.41,26.41,21.48,0.02945,112241.4,0.361,8000.0,20594.0,0.407,0.478,1.408,24.81,0.4,0.0,NORMAL,0.0
3.731,4.129,54.48,22.37,24.46,22.25,0.03638,180190.5,1.213,8000.0,20626.81,0.708,0.21,0.564,22.73,0.36,0.0,NORMAL,0.0
1.66,4.129,16.04,22.98,25.62,22.45,0.03086,97620.5,0.417,8000.0,20271.59,0.862,0.414,1.49,22.98,0.0,0.0,NORMAL,0.0
1.289,3.507,44.8,29.69,31.24,20.17,0.02869,159942.1,1.035,8000.0,20573.02,0.883,0.41,1.393,31.35,1.66,0.0,NORMAL,0.0
3.792,3.4,70.81,28.33,32.31,22.46,0.03943,81713.7,4.424,8000.0,20863.59,0.488,0.698,1.286,30.68,2.35,0.0,NORMAL,0.0
5.606,4.028,56.09,29.98,34.44,23.85,0.01531,145876.2,1.462,8000.0,20791.48,0.501,0.708,2.224,32.6,2.62,0.0,NORMAL,5.17
3.899,4.049,59.82,24.44,27.58,20.35,0.01859,109090.2,3.054,8000.0,20892.68,0.499,0.739,1.317,24.95,0.5,0.0,NORMAL,1.22
11.34,3.554,75.2,41.98,54.58,34.78,0.00956,106699.3,0.998,8000.0,20576.64,0.413,0.333,4.519,57.48,15.5,100.0,CRITICAL,80.19
4.66,3.778,20.88,32.02,36.66,23.78,0.02556,140512.3,1.225,8000.0,20478.13,0.737,0.635,2.488,35.56,3.55,0.93,NORMAL,1.85
3.492,3.591,33.74,22.95,27.63,18.72,0.0195,198524.7,1.764,8000.0,20676.26,0.403,0.485,0.53,22.95,0.0,0.0,NORMAL,0.0
4.98,3.215,48.03,32.96,38.32,29.59,0.02514,108118.5,4.739,8000.0,20879.61,0.579,0.266,1.439,37.11,4.16,16.6,NORMAL,0.15
3.297,3.611,34.13,24.85,27.65,21.0,0.01743,146214.3,1.057,8000.0,20646.4,0.68,0.526,1.25,24.85,0.0,0.0,NORMAL,2.02
12.494,4.095,49.49,43.31,55.0,36.98,0.01348,125493.3,3.285,8000.0,20853.81,0.774,0.212,4.628,59.47,16.16,100.0,CRITICAL,78.32
3.122,4.058,90.43,28.28,31.74,24.9,0.02701,163384.6,1.862,8000.0,20655.14,0.977,0.611,1.373,31.11,2.83,0.0,NORMAL,0.0
12.249,3.304,20.3,35.1,44.88,33.43,0.00837,191554.9,0.713,8000.0,20600.2,0.872,0.672,2.139,50.47,15.36,87.14,CRITICAL,73.05
1.445,3.507,36.51,24.7,26.45,23.93,0.03696,130677.4,2.773,8000.0,20983.44,0.576,0.63,1.105,24.97,0.28,0.0,NORMAL,0.0
4.057,3.274,88.06,24.08,27.71,19.27,0.03174,189040.1,1.864,8000.0,20554.35,0.88,0.419,0.642,24.08,0.0,0.0,NORMAL,0.0
3.245,3.498,60.85,29.81,32.19,22.74,0.03114,190025.6,4.364,8000.0,20844.28,0.496,0.454,1.05,33.07,3.27,0.0,NORMAL,0.0
14.152,3.498,97.3,39.35,52.15,36.15,0.00676,184576.0,4.629,8000.0,20983.55,0.775,0.618,3.995,56.21,16.86,100.0,CRITICAL,72.6
5.479,3.253,25.52,30.08,33.67,26.51,0.01035,109752.9,2.851,8000.0,20718.39,0.444,0.287,2.15,34.26,4.18,0.0,NORMAL,10.22
1.694,4.095,78.02,22.79,24.54,24.91,0.01924,164177.0,1.467,8000.0,20678.08,0.606,0.317,0.535,22.79,0.0,0.0,NORMAL,0.0
4.994,4.04,85.52,27.2,31.29,24.28,0.03443,120606.0,2.659,8000.0,20662.11,0.73,0.632,1.112,27.2,0.0,0.0,NORMAL,0.0
3.077,4.128,96.27,20.35,22.89,19.81,0.03962,102719.4,4.425,8000.0,20946.92,0.868,0.294,1.209,22.0,0.0,0.0,NORMAL,0.0
6.317,3.944,24.2,28.61,35.21,25.03,0.02443,135370.9,3.374,8000.0,20835.81,0.952,0.547,1.586,30.88,2.26,0.0,NORMAL,0.0
4.764,3.96,58.22,27.9,34.89,23.41,0.03546,137757.8,0.434,8000.0,20595.17,0.986,0.28,0.528,29.15,1.26,0.0,NORMAL,0.0
3.066,3.987,46.27,24.97,27.67,19.12,0.02562,157566.2,0.322,8000.0,20516.25,0.892,0.434,1.336,25.7,0.73,0.0,NORMAL,0.0
8.877,3.875,64.54,32.65,41.81,32.51,0.00768,118538.4,0.773,8000.0,20658.25,0.434,0.475,3.362,40.78,8.13,35.36,CAUTION,24.21
9.796,3.376,17.15,38.4,48.77,34.3,0.01895,89615.0,2.831,8000.0,20703.03,0.895,0.712,2.97,48.47,10.07,79.8,CRITICAL,56.08
1.741,3.378,52.64,26.86,29.04,22.45,0.03558,114754.6,0.839,8000.0,20610.07,0.71,0.446,0.715,27.25,0.39,0.0,NORMAL,0.0
5.471,3.7,12.61,27.49,32.74,28.37,0.02601,178225.0,1.271,8000.0,20485.43,0.562,0.549,1.644,29.94,2.45,0.0,NORMAL,0.0
1.134,3.891,37.85,23.02,24.81,19.05,0.02964,183637.6,2.641,8000.0,20582.78,0.512,0.318,0.923,23.02,0.0,0.0,NORMAL,0.0
5.676,3.23,83.93,33.86,39.58,25.88,0.02488,88352.7,2.831,8000.0,20673.03,0.805,0.528,1.715,37.15,3.29,12.42,NORMAL,3.02
2.86,3.746,52.04,26.22,28.36,24.93,0.02125,104373.8,4.124,8000.0,21075.8,0.601,0.489,0.759,27.55,1.33,0.0,NORMAL,1.1
8.345,4.087,86.62,32.38,40.41,23.4,0.0106,87200.4,2.184,8000.0,20835.78,0.904,0.492,1.206,39.56,7.18,27.12,CAUTION,26.59
8.689,3.326,15.23,33.16,41.13,23.17,0.02938,139977.1,3.889,8000.0,20918.16,0.962,0.725,1.785,39.36,6.2,29.5,CAUTION,13.25
10.355,3.513,73.0,31.83,41.39,34.08,0.0191,100770.9,0.398,8000.0,20473.11,0.923,0.691,2.613,39.93,8.09,30.51,CAUTION,28.78
1.407,4.187,15.4,22.5,23.91,21.85,0.01653,173390.1,2.711,8000.0,20842.43,0.625,0.596,1.095,22.5,0.0,0.0,NORMAL,2.23
12.922,3.529,23.98,37.91,50.65,39.36,0.00729,178630.9,2.148,8000.0,20585.09,0.918,0.777,3.586,56.84,18.93,100.0,CRITICAL,92.8
2.555,3.229,82.32,25.85,28.17,18.71,0.03257,139704.4,4.623,8000.0,20800.98,0.719,0.622,0.802,25.85,0.0,0.0,NORMAL,0.0
1.287,3.884,11.77,27.44,30.5,20.49,0.02163,135845.6,3.601,8000.0,20848.5,0.429,0.791,1.227,28.07,0.63,0.0,NORMAL,0.0
8.786,4.183,44.25,26.04,32.91,24.26,0.0186,144361.9,3.458,8000.0,20841.51,0.362,0.676,1.275,28.69,2.64,0.0,NORMAL,11.23
